type	ID	rowID	diff
F1	29594536-18d5-4d83-8e6d-f08c0276e974	-1	2
N	886df7e8-172b-4bf4-a187-6f77e74316c2	-1	5
F1	4896e39c-3073-4ce9-bc16-e115629a7ec6	-1	4
N	ecdff4cf-c39c-41db-9124-85d5e5e80d74	-1	2
N	597385a5-e254-41d0-a321-a720622854ba_1	-1	2
N	154c6718-7af6-4447-a6f6-6817b5c8caf3	-1	1
N	595377d6-fa17-42e8-a96a-642e8992d06e	-1	13
F1	8a5e48cb-6473-4184-98e4-407c96bc48b0	-1	1
N	48f38cde-770e-4bc4-aa97-083bba38e2b2	-1	2
N	cfd55a6f-8d1e-4d69-9f70-bf22c4bb5f72	-1	9
N	c73d3960-8b2e-4cfd-bfc1-d51355c8263b	-1	1
N	b4183006-2d05-4527-8465-25d3021d80f6	-1	1
F1	30c2535b-e000-42c1-9b60-0f02813cc701_1	-1	0
F1	0c2c3e84-9673-4f61-8966-1957e0268f50_1	-1	0
N	9f999d22-1d11-4d65-8cfe-fae848f9e740_1	-1	2
N	e32d76c2-f91b-4d35-a664-9422132ade04	-1	1
F2	3808e8fa-073d-4115-9cae-e66475e4cb8a	-1	2
N	49f6e7c7-0ae9-4011-b039-c5d82ecfc6b3_1	-1	2
N	ad6217f1-3302-4732-bd4a-424526e6f144	-1	0
N	98aedfd9-a6bb-4b0c-81f9-e93879f131cf	-1	1
N	f5b84bea-63fc-4180-b384-008d8c82ac46	-1	4
N	91f68959-2427-45f4-b78c-37db74b6e623	-1	1
F1	c2592aad-9885-487c-885d-a22ebde83891	-1	2
C1	75ba3eca-7810-45f1-8c15-a041d23c536a	-1	2
N	d42af4ba-3588-4e69-ac95-03fcbc028bb0_1	-1	2
