	0
2ae2b839-4a62-4cab-815a-cf06fa9c5050	1670
242e8240-2ac6-4303-b029-d6899b56a351	1726
9e4b2eef-3441-4a9f-9b24-277abe4dcf45	1448
4d22952a-23bf-4c9b-8ff3-02a3df90ec8a	991
f9df5feb-615d-49da-b823-6da5b26d137a	765
0dd6c8ff-378d-4319-b2b2-1136c40cea82	1416
4ab7702e-2c92-462f-b420-03878d9314b2	1374
c1ef261e-e486-4198-8ae8-64a20355b3f6	1326
4ae62d44-32e1-410a-b622-49ab69d3872f	1341
4a15b2b1-0ebe-4211-93f1-0120231c771f	1673
b7355d31-5df2-43ad-80f9-513685a1cd54	1350
40f8818d-e02f-4059-bd1c-6e4ff6a56e82	1161
c2493f6c-bd20-4317-94aa-29d56d866ee5	1131
88486fd8-b213-41a4-8d83-caa9a2153d26	1217
18865d41-a0d1-4f83-8a7c-d161159e8394	1109
07c69b24-2ac6-4d04-869d-ba68ec0ff048	1701
da15e1f8-5301-4e18-90d1-5da85d096fa0	1396
91fc270a-ab40-4869-84a5-985b2f9a86bf	1260
3a635d68-e6b4-4c50-aa50-f7372d18a03e	1475
56955760-bf39-4acd-9920-1e489f7db5ba	1442
39d6e9fe-3a23-4da5-ac20-d8b45a1a4514	855
8a7b4954-cb0d-4030-8201-5e11434aa1fe	840
5666c643-c46c-4a7b-9645-448ab90c4415	1363
52857659-7f7d-444c-930b-d3a95a971581	839
9614d1e4-0c25-4c8b-8437-d1eea0a6f753	1630
d9530a71-54a1-493e-962a-fa51c3a58801	2218
a815f4bd-047e-4b44-b0c1-ae4ac0730290	688
a6f5c4dd-ecc1-43d6-ba2b-dee833cb31bc	1608
bbddc3ad-715a-4f1f-a7e5-34d92fe444c6	1320
cd49e93f-642e-4013-9b29-a086d101c972	1604
0b674d92-dcd9-4788-8cff-b4ed4693ff92	1343
a596cee1-e270-4115-a0a4-75b3a328bf30	1080
e029d68f-db2f-4cb2-8a86-b60930bffbe2	1333
a3cff032-075f-4fe6-ae87-713c32f4de39	1291
7c038fdd-fbc0-43f3-9257-a19c4af60f66	1035
537ede3f-44e8-4144-a782-a7c90561d321	939
cf195139-0fe8-4f17-b916-fd9313604fb5	1168
4bf47c40-7688-4ac4-b2f3-f8a760be81e2	1180
2505402b-c31a-4871-a801-6f11cf9e90f3	1157
60c16311-9574-4b54-b4c7-192cd55f8b2f	3349
5f8a6d56-76c7-4351-b291-ebed7059b73f	1081
ffe1a2c7-514d-4548-9257-f8196abb01dd	1529
7a2778ef-9d3f-457b-a98e-96b75753c44f	940
b32b0339-ead9-4ba9-acbf-36293128a5ea	932
4cd9776d-1b36-4fac-b2a2-fb4387ba65a1	1468
7fd590ba-ad81-484f-94ed-f0b2d27de1b6	1766
283e0875-3eb9-4c57-b3e6-04c41a4c8fb1	1262
a9eb9965-5d4b-47a6-adec-876a599b6eb6	1121
cd92bb32-043d-469a-8c58-6c7934486f8f	1215
d6abaa4b-2a4f-48ff-b7ec-96aafc0c79b2	1228
ed97d77a-85ff-494a-9c46-10feae33957e	895
b2796c9c-e86d-4383-8280-93f017d2c829	1363
5d7498cd-df11-4342-b5e7-ccd5a927e5e6	1259
f2327068-dd89-4331-8567-c7fc96b7c181	369
0ba5a729-84a7-48fd-a337-e2fa486fc3ff	1044
de2f1f4b-2d2d-418a-8b9b-24b423bbcd60	696
3c03e30d-73cb-4011-8d09-f3b527b6ad24	1161
e8608aac-9390-4893-a214-7df866c8c05a	965
7f9d64ed-a04a-4940-91f3-c8da09bca9a1	1485
5c802b4f-8e1b-4811-9dae-7a8ee3cd2b17	1247
6612c2e5-f235-4429-89df-19b11666220a	1820
33c12ce2-77f3-46b9-90b1-878bf43fafce	835
88c7a74d-d6e7-46a0-bdc2-cb60c65204e5	839
cb648d7f-1fd0-4057-b141-24f5bd936c3b	883
887d8299-e938-46e4-8a6d-f0143a7cc0c3	1242
5096a09d-e9d8-4b01-bd96-2ca7a963f55e	1165
b9fcd256-9577-44cb-91f7-117adccf9c54	1193
